word,meaning
abroad,[副]在國外
across,[介]橫越;穿過
act,"[動]扮演;[名]行動,法案"
action,[名]動作
actor,[名]男演員
actress,[名]女演員
ahead,[副]在前;向前;預先;事前
ant,[名]螞蟻
attack,[動]進攻;襲擊;[名]攻擊
badminton,[名]羽毛球
bake,[動]烘;烤
balcony,[名]陽臺
barbecue,[名]烤肉
base,[名]基;底;基部
bat,[名]球棒;蝙蝠
bean,[名]豆莢;豆子
bench,[名]長凳;長椅
blanket,[名]毯子
boil,[動](水等)沸騰;開;滾
bow,[動]鞠躬;[名]弓
bug,[名]小蟲
bun,[名]小圓麵包
butterfly,[名]蝴蝶
cage,[名]鳥籠;獸籠
candle,[名]蠟燭
castle,[名]城堡
centimeter,[名]公分
chess,[名]西洋棋
choose,[動]選擇;挑選
clap,[動]拍(手);鼓(掌)
clerk,[名]店員;辦事員;職員
cola,[名]可樂
comb,[動]用梳子梳理;[名]梳子
corner,[名]角落
course,[名]課程;科目
deal,[動]處理;對付;對待[(+with)];[名]交易
dentist,[名]牙醫
dodge ball,[名]躲避球遊戲
dot,[名]點;小圓點
dragon,[名]龍
drawer,[名]抽屜
drum,[名]鼓
duck,[名]鴨
dumpling,[名]餃子
Easter,[名]復活節
engineer,[名]工程師
envelope,[名]信封
fail,[動]失敗;不及格
far,[形]遠的
feed,[動]吃;餵養
fever,[名]發燒
fight,[動]打架;作戰;[名]打架;戰鬥
flute,[名]橫笛
fox,[名]狐狸
French fries,[名]薯條
frisbee,[名](投擲遊戲用的)飛碟;飛盤
frog,[名]青蛙
fry,[動]油炸;[名]炸薯條
gate,[名]柵門;登機門
ghost,[名]鬼
giant,[形]巨大的;[名]巨人
glasses,[名]眼鏡
glue,[動]黏住;緊附;[名]膠;膠水
goose,[名]鵝
gram,[名]公克
grape,[名]葡萄
guava,[名]番石榴
guitar,[名]吉他
guy,[名]傢伙;人
gym,[名]體育館;體育;體操
Halloween,[名]萬聖節
hang,[動]把…掛起;吊
hen,[名]母雞
hey,[感歎詞]嗨;喂
hike,[動]徒步旅行;[名]徒步旅行
hippo,[名]河馬
honey,[名]蜂蜜;心愛的人
hop,[動]單足跳
housewife,[名]家庭主婦
hunt,[動]追獵
inch,[名]英吋
insect,[名]昆蟲
interview,[動]面談;採訪;[名]面談;採訪
invite,[動]邀請
kangaroo,[名]袋鼠
koala,[名]澳洲產無尾熊
lantern,[名]燈籠
lawyer,[名]律師
lovely,[形]動人的
mad,[形]發火;發瘋;發狂的
marker,[名]標誌;白板筆;馬克筆
mask,[名]面具
mat,[名]蓆子;墊子
mop,[動]拖洗;擦去;[名]拖把
MRT,[縮]大眾捷運系統
mud,[名]泥巴
nail,[名]釘子;指甲
nature,[名]自然
neighbor,[名]鄰居
newspaper,[名]報紙
note,[動]注意;記下;[名]筆記;音符;記錄
ox,[名]公牛
papaya,[名]木瓜
paste,[動]黏貼;[名]漿糊
peach,[名]桃子
pear,[名]梨子
photo,[名]相片
pin,[名]大頭針;胸針
pipe,[名]管子
planet,[名]行星
plant,"[動]栽種;播種;[名]植物,農作物;工廠"
plate,[名]盤;碟
pleasure,[名]愉快
pocket,[名]口袋
pond,[名]池塘
pool,[名]水池;美式撞球
pot,[名]罐;鍋
power,[名]權力;動力
pray,[動]禱告
prince,[名]王子
princess,[名]公主
prize,[名]獎品
pumpkin,[名]南瓜
puppy,[名]小狗
quarter,[名]1/4;美金25分;15分鐘
quiz,[名]小考
race,[動]與...賽跑;[名]競賽;(生物的)種類
raise,[動]舉起;提高
rat,[名]老鼠
recorder,[名]錄影機;錄音機
reporter,[名]記者
rise,[動]起身;升起
robot,[名]機器人
rock,[動]搖動;[名]岩石;搖滾樂
roll,[動]捲;滾
rope,[名]粗繩
row,[動]划船;[名]行列
sail,[動]航行
salesman,[名]售貨員
scared,[形]害怕的
science,[名]科學
scooter,[名]小輪摩托車
screen,[名]屏;銀幕
secretary,[名]秘書
seed,[名]種子
seesaw,[名]蹺蹺板
shake,[動]搖動;握(手);[名]搖動;奶昔
shark,[名]鯊魚
sharp,[形]尖銳的;敏銳的
shine,[動]照耀
shorts,[名]短褲
shout,[動]呼叫
sight,[名]視力;景象
sign,[動]簽字;做信號;[名]記號
skate,[動]溜冰;[名]冰鞋
slide,[動]滑壘滑動;[名]滑梯;土崩
slim,[形]細長的;微小的
snowman,[名]雪人
snowy,[形]似雪的;多雪的
soccer,[名]足球
soldier,[名]軍人
sore,[形]疼痛的
spaghetti,[名]義大利麵條
spider,[名]蜘蛛
stairs,[名]樓梯
stamp,[動]頓足;蓋印;[名]郵票;印章
straight,[形]直的
straw,[名]稻草;吸管
strawberry,[名]草莓
subject,[名]主題;學科
surf,[動]衝浪;在網路或頻道上搜索資料;[名]海浪
swing,[動]搖擺;揮動;[名]鞦韆;搖擺音樂
tail,[名]尾巴
temple,[名]廟宇;神殿
terrible,[形]可怕的
thick,[形]粗的;厚的
throat,[名]喉嚨
throw,[動]投;拋
tidy,[形]整潔的;[動]使整潔
tie,[動]綁;繫;[名]結;領帶;平手
toast,[動]烤;乾杯;[名]烤麵包片
toe,[名]腳趾
tool,[名]工具
top,[形]最高的;[名]頂部;陀螺
total,[形]總的;[名]總額
trash,[名]垃圾
treat,[動]對待;治療;[名]款待
trick,[動]欺騙;[名]詭計;戲法;惡作劇
T-shirt,[名]T恤
tub,[名]浴缸
turkey,[名]火雞
turtle,[名]烏龜
twice,[副]兩次
type,[動]打字;[名]類型
vest,[名]背心
violin,[名]小提琴
wallet,[名]皮夾
watermelon,[名]西瓜
wave,[動]揮動;[名]波浪
whale,[名]鯨魚
yard,[名]庭院;碼(3英呎)
yummy,[形]好吃的
zebra,[名]斑馬
zero,[形]零的;[名]零
absent,"[形]缺席的,不在場的"
accept,[動]接受
accident,[名]事故;災禍
active,[形]活躍的
activity,[名]活動
add,[動]添加
address,[名]地址;演說
admire,[動]欽佩;欣賞
adult,[名]成年人
advertisement,[名]廣告
advice,[名]忠告
affect,[動]影響
against,[介]反對，違反
aim,"[動]瞄準,對準;[名]目標,目的"
air conditioner,[名]冷氣機
airlines,"[名]航線,航空公司"
alarm,[名]警鈴;警報;驚慌
album,[名]相簿;集郵簿;唱片集
alike,[形]相似的
alive,[形]活著的;活躍的
allow,[動]允許
alone,[形]單獨的;孤單的
alphabet,[名]字母
altogether,[副]完全地;總共
ambulance,[名]救護車
among,[介]在...之中
amount,[名]總數
ancient,[形]古代的
angel,[名]天使
anger,[名]生氣
ankle,[名]腳踝
anywhere,[副]任何地方
apologize,[動]道歉
appreciate,[動]感謝;賞識
area,[名]地區;面積
argue,[動]爭論
armchair,[名]扶手椅子
army,[名]軍隊;大群
arrange,[動]排列;整理
artist,[名]藝術家
asleep,[形]睡著的
assistant,[名]助手
assume,[動]假定
attention,[名]注意;專心
available,[形]可用的
avoid,[動]避免
baby sitter,[名]替人看小孩者
backpack,[名]背包
backward,[形]向後的;落後的;[副]向後地;落後地
balloon,[名]汽球
barber,[名]男理髮師
bark,[動]狗叫;[名]吠聲
basement,[名]地下室
basic,[形]基本的
bathe,[動]洗澡
beard,[名]鬍子
beat,[動]擊敗;敲擊
beauty,[名]美貌;美人
beer,[名]啤酒
beginner,[名]新手
behave,[動]舉動;守規矩
besides,[副]並且;[介]除...之外
beyond,[副]在更遠處;[介]越出;晚於;在...那一邊
bill,[動]記入帳;[名]帳單;鈔票
biology,[名]生物學
bitter,[形]苦的;嚴酷的
blame,[動]歸咎於
blank,[名]空白
bless,[動]祝福;保佑
blood,[名]血
blouse,[名]女裝短上衣
board,[動]上車;上船;[名]木板;;車上;船上
bomb,[名]炸彈
bone,[名]骨頭
bookcase,[名]書架
bother,[動]煩擾
bowling,[名]保齡球戲
branch,[名]樹枝;支部
brave,[形]勇敢的
brick,[名]磚塊
broad,[形]寬廣的
broadcast,[動]廣播
brunch,[名]早午餐
bucket,[名]水桶
buffet,[名]自助餐
bundle,[名]捆;大量
burger,[名]漢堡牛肉餅
burst,[動]爆開;闖入
button,[動]扣鈕扣;[名]鈕扣
cabbage,[名]包心菜
cable,[名]纜索;有線電視
cafeteria,[名]自助餐館
calendar,[名]日曆;月曆;行事曆
calm,[形]寧靜的;[動]變安靜
campus,[名]校園
cancel,[動]取消
cancer,[名]癌症
captain,[名]隊長;機長;艦長
careless,[形]粗心的
carpet,[名]地毯
carrot,[名]胡蘿蔔
cartoon,[名]卡通
cash,[動]兌現;[名]現款
cause,[名]原因;理由
ceiling,[名]天花板
central,[形]中央的
century,[名]一世紀
cereal,[名]麥片
certain,[形]肯定的
channel,[名]管道;頻道
character,[名]特性;角色;(中文)字
charge,[動]索價;充電;[名]費用;充電
chart,[名]圖表
chase,[動]追
chemistry,[名]化學
childhood,[名]幼時
childish,[形]幼稚的
chin,[名]下巴
choice,[名]選擇
chubby,[形]圓胖的
classical,[形]古典的
clever,[形]聰明伶俐的
